col1_h,col1_s,col1_v,col2_h,col2_s,col2_v,col3_h,col3_s,col3_v,col4_h,col4_s,col4_v
0.7140370904861395,0.4500915415598682,0.7448783394720027,0.16118652589240826,0.5621489621489622,0.5082525317819435,0.9552491320717813,0.49867488142389127,0.49816145909735465,0.23909247082518809,0.5749398732302589,0.6300100704934541
0.8652192044644618,0.4930113886235082,0.4732177789909467,0.0871726122355557,0.5052218552790766,0.49482174192634254,0.2933553984253548,0.6930244220450328,0.6607341657890778,0.5372953305033353,0.598564786739438,0.257165959167172
0.8170787447070897,0.4749300746541103,0.4233557841843672,0.05142857142857143,0.5166666666666667,0.4788795518207283,0.4110423116615067,0.6843481252149982,0.17254901960784313,0.398868778280543,0.627262443438914,0.6799396681749623
0.5579744101030242,0.5221020272515786,0.3198554336989033,0.4656158873805933,0.3932730015082956,0.573614881850176,0.7717099863201095,0.45110807113543094,0.4562204416650381,0.40999000999001,0.6205363264186794,0.24728604728604728
0.5788422035480859,0.44493886443466274,0.42923124805477747,0.1588061773381919,0.5079264272080514,0.51269130661114,0.8657175491555846,0.4894155720540644,0.5009491175110821,0.30477042337507454,0.49415973902978005,0.511199971938686
0.20346568185700234,0.503057504167182,0.5825773505557224,0.7113717747711128,0.47006948880243116,0.5900218725199854,0.2319144932445147,0.7265853750329306,0.18283090587482592,0.07069035947712418,0.5170275054466231,0.4833061002178649
0.1226911111638842,0.5525485446499956,0.5624434998060589,0.6171421358242868,0.48067827989564926,0.6133720440966086,0.3548507542298747,0.575233096503019,0.2985811517207536,0.09178995541878723,0.5375389592456701,0.433037440328244
0.41143868968570163,0.6043423690857485,0.28566830716350283,0.8312265726479866,0.4822044906290592,0.4529498360858539,0.2096375277877614,0.5070697389614366,0.4786550057905036,0.6463346702317291,0.465371546345811,0.6545565953654189
0.07523894824925466,0.4978239204753314,0.5263311929961776,0.8015956002767342,0.4885847148149121,0.5229015053989439,0.2558037365889752,0.7440251572327043,0.160701072881983,0.17436798618818597,0.704125046244913,0.22049574546799852
0.3242902788313449,0.7683941337379031,0.12068478035997518,0.8301680115386114,0.5296144700424902,0.5324952247300511,0.014390511449334979,0.5102941176470588,0.5014088852324147,0.22650305155174652,0.6468640436306973,0.606401766004415
0.6919030908622297,0.4125141259739487,0.39555601816055036,0.14326351752822342,0.47613636363636364,0.49806892453951274,0.45116462692459536,0.4746808790630346,0.3921305434925648,0.2468303826384923,0.4573386636207881,0.4967827907862174
0.9571028854878055,0.4977414850672882,0.4980153103081077,0.6435143288084464,0.48024132730015084,0.4726244343891403,0.8510854341736696,0.4012955182072829,0.4431897759103642,0.9447365941004617,0.49588495845044267,0.49762898656776816
0.7963897767999225,0.4562718806647571,0.4761218813566358,0.41857600394185757,0.5006970711418344,0.3655058475718447,0.8175651368631013,0.46255097861124467,0.4762764688073231,0.5944891866932972,0.46014646822584454,0.39759036144578314
0.9299917956154242,0.48263405264798104,0.49850349481342976,0.40431789737171464,0.48570296203587815,0.45750104297037963,0.9977038539553753,0.49984584178498986,0.5017606490872211,0.6419640432350225,0.4809461734832437,0.42085709630112433
